"id";"level";"dump_id";"detect_time";"updated_at";"device_id";"access_point_id";"short_event_id";"created_at"
"1 meter"
35769134;52;41593;"2014-03-17 16:33:31";"2014-03-17 17:14:55.277451";1821;17;7011459;"2014-03-17 17:13:12.618431"
35769135;51;41593;"2014-03-17 16:33:31";"2014-03-17 17:14:55.279876";1821;17;7011459;"2014-03-17 17:13:12.620162"
35769137;52;41593;"2014-03-17 16:33:31";"2014-03-17 17:14:55.285382";1821;17;7011459;"2014-03-17 17:13:12.623357"
35769142;55;41593;"2014-03-17 16:33:42";"2014-03-17 17:14:55.308583";1821;17;7011460;"2014-03-17 17:13:12.631306"
35769143;71;41593;"2014-03-17 16:33:42";"2014-03-17 17:14:55.310993";1821;17;7011460;"2014-03-17 17:13:12.632814"
35769141;53;41593;"2014-03-17 16:33:42";"2014-03-17 17:14:55.305973";1821;17;7011460;"2014-03-17 17:13:12.629819"
35769140;53;41593;"2014-03-17 16:33:42";"2014-03-17 17:14:55.303904";1821;17;7011460;"2014-03-17 17:13:12.628256"
35769139;53;41593;"2014-03-17 16:33:42";"2014-03-17 17:14:55.301297";1821;17;7011460;"2014-03-17 17:13:12.626443"
35769138;53;41593;"2014-03-17 16:33:42";"2014-03-17 17:14:55.298616";1821;17;7011460;"2014-03-17 17:13:12.624921"
35769148;75;41593;"2014-03-17 16:33:52";"2014-03-17 17:14:55.334429";1821;17;7011461;"2014-03-17 17:13:12.641874"
35769147;55;41593;"2014-03-17 16:33:52";"2014-03-17 17:14:55.331771";1821;17;7011461;"2014-03-17 17:13:12.640252"
35769146;56;41593;"2014-03-17 16:33:52";"2014-03-17 17:14:55.328948";1821;17;7011461;"2014-03-17 17:13:12.638517"
35769145;57;41593;"2014-03-17 16:33:52";"2014-03-17 17:14:55.326029";1821;17;7011461;"2014-03-17 17:13:12.635838"
35769144;57;41593;"2014-03-17 16:33:52";"2014-03-17 17:14:55.323472";1821;17;7011461;"2014-03-17 17:13:12.634319"
" 17 step"
35769151;55;41593;"2014-03-17 16:34:02";"2014-03-17 17:14:55.410461";1821;17;7011462;"2014-03-17 17:13:12.646758"
35769150;56;41593;"2014-03-17 16:34:02";"2014-03-17 17:14:55.353359";1821;17;7011462;"2014-03-17 17:13:12.645122"
35769149;56;41593;"2014-03-17 16:34:02";"2014-03-17 17:14:55.350519";1821;17;7011462;"2014-03-17 17:13:12.643515"
35769153;73;41593;"2014-03-17 16:34:02";"2014-03-17 17:14:55.415558";1821;17;7011462;"2014-03-17 17:13:12.650028"
35769152;55;41593;"2014-03-17 16:34:02";"2014-03-17 17:14:55.412999";1821;17;7011462;"2014-03-17 17:13:12.648478"
35769155;54;41593;"2014-03-17 16:34:04";"2014-03-17 17:14:55.420938";1821;17;7011462;"2014-03-17 17:13:12.653309"
35769154;55;41593;"2014-03-17 16:34:04";"2014-03-17 17:14:55.418419";1821;17;7011462;"2014-03-17 17:13:12.651782"
35769159;73;41593;"2014-03-17 16:34:04";"2014-03-17 17:14:55.432153";1821;17;7011462;"2014-03-17 17:13:12.661002"
35769158;71;41593;"2014-03-17 16:34:04";"2014-03-17 17:14:55.429451";1821;17;7011462;"2014-03-17 17:13:12.659393"
35769157;54;41593;"2014-03-17 16:34:04";"2014-03-17 17:14:55.426714";1821;17;7011462;"2014-03-17 17:13:12.657615"
35769156;54;41593;"2014-03-17 16:34:04";"2014-03-17 17:14:55.423457";1821;17;7011462;"2014-03-17 17:13:12.655507"
35769160;53;41593;"2014-03-17 16:34:07";"2014-03-17 17:14:55.43478";1821;17;7011462;"2014-03-17 17:13:12.662504"
35769161;54;41593;"2014-03-17 16:34:07";"2014-03-17 17:14:55.437475";1821;17;7011462;"2014-03-17 17:13:12.664264"
35769162;52;41593;"2014-03-17 16:34:07";"2014-03-17 17:14:55.441044";1821;17;7011462;"2014-03-17 17:13:12.66583"
35769163;53;41593;"2014-03-17 16:34:07";"2014-03-17 17:14:55.443522";1821;17;7011462;"2014-03-17 17:13:12.667342"
35769164;56;41593;"2014-03-17 16:34:07";"2014-03-17 17:14:55.446038";1821;17;7011462;"2014-03-17 17:13:12.669082"
35769165;70;41593;"2014-03-17 16:34:07";"2014-03-17 17:14:55.448864";1821;17;7011462;"2014-03-17 17:13:12.670651"
35769166;72;41593;"2014-03-17 16:34:07";"2014-03-17 17:14:55.45142";1821;17;7011462;"2014-03-17 17:13:12.672167"
35769167;56;41593;"2014-03-17 16:34:09";"2014-03-17 17:14:55.454036";1821;17;7011462;"2014-03-17 17:13:12.674038"
35769171;72;41593;"2014-03-17 16:34:09";"2014-03-17 17:14:55.46416";1821;17;7011462;"2014-03-17 17:13:12.680474"
35769170;53;41593;"2014-03-17 16:34:09";"2014-03-17 17:14:55.461746";1821;17;7011462;"2014-03-17 17:13:12.678977"
35769169;54;41593;"2014-03-17 16:34:09";"2014-03-17 17:14:55.459195";1821;17;7011462;"2014-03-17 17:13:12.677298"
35769168;56;41593;"2014-03-17 16:34:09";"2014-03-17 17:14:55.456513";1821;17;7011462;"2014-03-17 17:13:12.675645"
35769175;53;41593;"2014-03-17 16:34:12";"2014-03-17 17:14:55.473961";1821;17;7011462;"2014-03-17 17:13:12.686703"
35769172;54;41593;"2014-03-17 16:34:12";"2014-03-17 17:14:55.466706";1821;17;7011462;"2014-03-17 17:13:12.681982"
35769173;54;41593;"2014-03-17 16:34:12";"2014-03-17 17:14:55.469391";1821;17;7011462;"2014-03-17 17:13:12.683473"
35769174;54;41593;"2014-03-17 16:34:12";"2014-03-17 17:14:55.47179";1821;17;7011462;"2014-03-17 17:13:12.685145"
35769176;73;41593;"2014-03-17 16:34:12";"2014-03-17 17:14:55.476954";1821;17;7011462;"2014-03-17 17:13:12.688532"
35769180;53;41593;"2014-03-17 16:34:14";"2014-03-17 17:14:55.48716";1821;17;7011462;"2014-03-17 17:13:12.694563"
35769177;54;41593;"2014-03-17 16:34:14";"2014-03-17 17:14:55.479555";1821;17;7011462;"2014-03-17 17:13:12.690132"
35769178;54;41593;"2014-03-17 16:34:14";"2014-03-17 17:14:55.482089";1821;17;7011462;"2014-03-17 17:13:12.691646"
35769179;54;41593;"2014-03-17 16:34:14";"2014-03-17 17:14:55.484562";1821;17;7011462;"2014-03-17 17:13:12.69306"
35769181;73;41593;"2014-03-17 16:34:14";"2014-03-17 17:14:55.489842";1821;17;7011462;"2014-03-17 17:13:12.696932"
35769187;73;41593;"2014-03-17 16:34:17";"2014-03-17 17:14:55.504958";1821;17;7011462;"2014-03-17 17:13:12.707938"
35769182;54;41593;"2014-03-17 16:34:17";"2014-03-17 17:14:55.492152";1821;17;7011462;"2014-03-17 17:13:12.698552"
35769183;53;41593;"2014-03-17 16:34:17";"2014-03-17 17:14:55.494581";1821;17;7011462;"2014-03-17 17:13:12.700221"
35769184;54;41593;"2014-03-17 16:34:17";"2014-03-17 17:14:55.497199";1821;17;7011462;"2014-03-17 17:13:12.701925"
